sent_setpoint_Pset,sent_setpoint_Bset,Pset_pv,Pset_bess,P_grid,Pset_load,BESS_soc,Qset_pv,Qset_bess,Qset_load,Q_grid,reopt_calculated_pv_to_load,reopt_calculated_pv_to_battery,reopt_calculated_pv_excess,reopt_calculated_battery_to_load,reopt_calculated_battery_soc,reopt_calculated_grid_to_load,reopt_calculated_grid_to_battery,reopt_calculated_grid_consumption
203.2834245,150.0,202.06755,150.0,147.93245,-500.0,0.34160194,1.0000002,1.0000002,0.99999934,-3.0,203.236,0.0,0.0,150.0,0.34058,146.764,0.0,146.764
204.39396875,150.0,203.28343,150.0,146.71657,-500.0,0.32891247,0.9999991,0.99999934,1.0000023,-3.0000007,204.898,0.0,0.0,150.0,0.33281,145.102,0.0,145.102
205.322943,150.0,203.28343,150.0,146.71657,-500.0,0.3211508,0.9999991,0.99999934,1.0000023,-3.0000007,205.398,0.0,0.0,150.0,0.32012,144.602,0.0,144.602
205.2234675,150.0,205.22346,150.0,144.77654,-500.0,0.30845794,0.9999991,0.99999934,1.0000023,-3.0000007,205.278,0.0,0.0,150.0,0.31236,144.722,0.0,144.722
205.068753,150.0,205.22346,150.0,144.77654,-500.0,0.3006945,1.0,1.0,1.0000001,-3.0000002,204.959,0.0,0.0,150.0,0.29967,145.041,0.0,145.041
207.46018024999998,150.0,207.46017,150.0,142.53983,-500.0,0.28800339,0.9999991,0.99999934,1.0000021,-3.0000007,207.495,0.0,0.0,150.0,0.2919,142.505,0.0,142.505
209.79766750000002,150.0,207.59784,150.0,142.40218,-500.0,0.28024268,1.0,1.0,1.0,-3.0,209.623,0.0,0.0,150.0,0.27921,140.377,0.0,140.377
211.47924175,150.0,211.47925,150.0,138.52075,-500.0,0.26754886,0.9999991,0.99999934,1.0000021,-3.0000007,211.705,0.0,0.0,150.0,0.27145,138.295,0.0,138.295
180.6064095,150.0,211.47925,150.0,138.52075,-500.0,0.25978827,0.99999946,0.9999997,1.0000013,-3.0000005,180.871,0.0,0.0,150.0,0.25876,169.129,0.0,169.129
149.9963625,0.0,149.99637,4.282797e-9,350.00363,-500.0,0.24953006,0.99999934,1.0,1.0000021,-3.0000017,150.171,0.0,0.0,0.0,0.25979,349.829,0.0,349.829
164.78935750000002,-295.752,149.99637,-3.097257e-9,350.00363,-500.0,0.24953006,1.0000005,1.0,0.9999985,-2.999999,165.048,0.0,0.0,0.0,0.26511,334.952,295.752,630.704
184.22764475,-300.0,184.22765,-300.0,615.77234,-500.0,0.27456704,0.9999992,1.0000013,1.0000021,-3.0000029,184.774,0.0,0.0,0.0,0.26533,315.226,300.0,615.226
206.62048175,-154.196,184.22765,-300.0,615.77234,-500.0,0.29008687,1.0000008,0.99999875,0.99999785,-2.9999974,207.171,0.0,0.0,0.0,0.28269,292.829,154.196,447.025
152.572618,-26.425,152.57262,-26.425,373.8524,-500.0,0.30108795,0.99999934,1.0000001,1.0000021,-3.0000017,152.781,0.0,0.0,0.0,0.29148,347.219,26.425,373.644
209.218997,-284.461,152.57262,-26.425,373.8524,-500.0,0.3024547,0.99999934,1.0000001,1.0000023,-3.000002,209.379,0.0,0.0,0.0,0.31607,290.621,284.461,575.082
217.01821075,-300.0,217.0182,-300.0,582.9818,-500.0,0.32673362,0.9999991,1.0000013,1.0000021,-3.0000026,217.38,0.0,0.0,0.0,0.31825,282.62,300.0,582.62
208.82430325,-131.347,216.53583,-290.06863,573.53314,-500.0003,0.3422515,0.99999994,0.9999998,1.0000026,-3.0000024,208.212,0.0,0.0,0.0,0.33365,291.788,131.347,423.135
