pv_to_load_series_kw,pv_to_storage_series_kw,pv_to_grid_series_kw,pv_curtailed_production_series_kw,storage_to_load_series_kw,soc_series_fraction,grid_to_load_series_kw,grid_to_battery_series_kw,cost_per_timestep
192.014404296875,0.0,0.0,0,4.582679569153925e-9,0.367229,307.98559569854234,0.0,0.3079856014251709
190.05108642578125,0.0,0.0,0,0.0,0.367229,309.9488525390625,0.0,0.3099488639831543
209.3494873046875,0.0,0.0,0,4.535352093881784e-9,0.367229,290.65051269077713,0.0,0.290650520324707
208.24774169921875,0.0,0.0,0,0.0,0.367229,291.7522277832031,0.0,0.2917522144317627
205.40103149414062,0.0,0.0,0,4.535353426149413e-9,0.367229,294.598968501324,0.0,0.2945989608764648
205.40103149414062,0.0,0.0,0,0.0,0.367229,294.5989685058594,0.0,0.2945989608764648
201.70774841308594,0.0,0.0,0,4.535354314327833e-9,0.367229,298.292236328125,0.0,0.29829222679138184
200.2442169189453,0.0,0.0,0,4.046347701347486e-9,0.367229,299.7557220418521,0.0,0.2997557258605957
206.577392578125,0.0,0.0,0,4.464451919261592e-9,0.367229,293.4226074174106,0.0,0.2934225940704346
206.577392578125,0.0,0.0,0,3.3287479439536583e-9,0.367229,293.42260741854625,0.0,0.2934225940704346
194.6380615234375,0.0,0.0,0,4.4644554719752705e-9,0.367229,305.361938472098,0.0,0.458042893409729
194.6380615234375,0.0,0.0,0,0.0,0.367229,305.3619384765625,0.0,0.458042893409729
159.3011474609375,0.0,0.0,0,120.0,0.356777,220.6988525390625,0.0,0.3310482788085937
159.3011474609375,0.0,0.0,0,120.0,0.350889,220.6988525390625,0.0,0.3310482788085937
206.13987731933594,0.0,0.0,0,120.0,0.340414,173.86012268066406,0.0,0.2607901740074158
206.13987731933594,0.0,0.0,0,120.0,0.334527,173.86012268066406,0.0,0.2607901740074158
190.2312469482422,0.0,0.0,0,120.0,0.32405,189.7687530517578,0.0,0.28465312242507934
190.2312469482422,0.0,0.0,0,120.0,0.318164,189.7687530517578,0.0,0.28465312242507934
202.8721160888672,0.0,0.0,0,120.0,0.307686,177.1278839111328,0.0,0.26569183588027956
202.8721160888672,0.0,0.0,0,120.0,0.301803,177.1278839111328,0.0,0.26569183588027956
198.81427001953125,0.0,0.0,0,4.428775568499077e-9,0.293596,301.18572997603997,0.0,0.3011857223510742
198.81427001953125,0.0,0.0,0,0.0,0.293596,301.18572998046875,0.0,0.3011857223510742
194.67510986328125,0.0,0.0,0,4.428776012588287e-9,0.293596,305.32489013228997,0.0,0.3053248786926269
194.67510986328125,0.0,0.0,0,2.4447741608923934e-9,0.293596,305.32489013427397,0.0,0.3053248786926269
188.30775451660156,0.0,0.0,0,4.4287773448559165e-9,0.293596,311.6922302246094,0.0,0.31169222831726073
188.30775451660156,0.0,0.0,0,2.57494181532536e-9,0.293596,311.6922302246094,0.0,0.31169222831726073
186.50942993164062,0.0,0.0,0,0.0,0.308633,313.4905700683594,499.9999694824219,0.8134905624389648
186.50942993164062,0.0,0.0,0,0.0,0.333138,313.4905700683594,499.9999694824219,0.8134905624389648
198.3350067138672,0.0,0.0,0,4.391564445427321e-9,0.341418,301.66499328174126,0.0,0.30166500091552734
198.3350067138672,0.0,0.0,0,0.0,0.341418,301.6649932861328,1.1842662406280624e-9,0.30166500091552734
201.99147033691406,0.0,0.0,0,120.0,0.339137,178.00852966308594,0.0,0.267012791633606
201.99147033691406,0.0,0.0,0,120.0,0.333256,178.00852966308594,0.0,0.267012791633606
204.3939666748047,0.0,0.0,0,120.0,0.322773,175.6060333251953,0.0,0.2634090399742126
204.44866943359375,0.0,0.0,0,120.0,0.316895,175.55133056640625,0.0,0.26332698583602904
205.2234649658203,0.0,0.0,0,120.0,0.306409,174.7765350341797,0.0,0.2621647953987121
205.21435546875,0.0,0.0,0,120.0,0.300532,174.78564453125,0.0,0.26217846393585204
207.46017456054688,0.0,0.0,0,120.0,0.290046,172.53982543945312,0.0,0.2588097381591797
207.46017456054688,0.0,0.0,0,120.0,0.284169,172.53982543945312,0.0,0.2588097381591797
211.479248046875,0.0,0.0,0,120.0,0.273682,168.520751953125,0.0,0.2527811193466186
209.66116333007812,0.0,0.0,0,119.99998474121094,0.267805,170.3387908935547,0.0,0.25550821781158445
149.99636840820312,0.0,0.0,0,4.312298518271973e-9,0.259601,350.00363158748456,0.0,0.35000364303588866
150.8675079345703,0.0,0.0,0,2.642791763207697e-9,0.259601,349.1324920627869,0.0,0.34913251876831053
184.22764587402344,0.0,0.0,0,4.312288748309356e-9,0.259601,315.77235412166425,0.0,0.3157723617553711
184.22764587402344,0.0,0.0,0,0.0,0.259601,315.77235412597656,4.7602388697498554e-9,0.3157723617553711
152.57261657714844,0.0,0.0,0,4.312298962361183e-9,0.259601,347.42738341853925,0.0,0.34742740631103514
152.57261657714844,0.0,0.0,0,0.0,0.259601,347.42738342285156,4.26088986316131e-9,0.34742740631103514
217.01820373535156,0.0,0.0,0,0.0,0.303211,282.98179626464844,500.0,0.7829818153381347
216.53591918945312,0.0,0.0,0,0.0,0.327681,283.4646301269531,482.4761657714844,0.765940818786621
194.89614868164062,0.0,0.0,0,4.312286083774097e-9,0.341579,305.10385131404706,0.0,0.3051038646697998
194.89614868164062,0.0,0.0,0,0.0,0.341579,305.1038513183594,0.0,0.3051038646697998
150.68531799316406,0.0,0.0,0,120.0,0.33929,229.31468200683594,0.0,0.34397202014923095
149.8575439453125,0.0,0.0,0,120.0,0.333421,230.14242553710938,0.0,0.3452136468887329
204.6057586669922,0.0,0.0,0,120.0,0.322927,175.3942413330078,0.0,0.26309135913848875
205.1929168701172,0.0,0.0,0,120.00000762939453,0.317058,174.80707550048828,0.0,0.2622106289863586
195.76304626464844,0.0,0.0,0,120.0,0.306563,184.23695373535156,0.0,0.27635544061660766
192.841552734375,0.0,0.0,0,119.9999771118164,0.300695,187.15835571289062,0.0,0.28073752641677857
103.56754302978516,0.0,0.0,0,120.0,0.290199,276.43245697021484,0.0,0.414648699760437
103.56754302978516,0.0,0.0,0,120.0,0.284333,276.43245697021484,0.0,0.414648699760437
117.96835327148438,0.0,0.0,0,120.0,0.273836,262.0316467285156,0.0,0.3930474758148193
117.96835327148438,0.0,0.0,0,120.0,0.26797,262.0316467285156,0.0,0.3930474758148193
142.4546356201172,0.0,0.0,0,4.252032059781641e-9,0.259764,357.54536437563075,0.0,0.3575453853607178
147.79237365722656,0.0,0.0,0,7.25712989702032e-10,0.259764,352.2077484123602,0.0,0.35220780372619626
147.8245086669922,0.0,0.0,0,4.219943949834715e-9,0.259764,352.17549132878787,0.0,0.3521755027770996
150.26397705078125,0.0,0.0,0,0.0,0.259764,349.736083984375,0.0,0.3497360801696777
195.26104736328125,0.0,0.0,0,4.219930183069209e-9,0.259764,304.7389526324988,0.0,0.30473894119262696
