Pset_pv,Pset_bess,P_grid,Pset_load,BESS_soc,Qset_pv,Qset_bess,Qset_load,Q_grid
204.232,-76.62,372.388,-500.0,0.89445,0.9999998,1.0000001,1.0000005,-3.0000005
178.379,4.3122905e-9,321.621,-500.0,0.89446485,0.9999992,1.0,1.0000023,-3.0000014
178.379,4.931205e-9,321.621,-500.0,0.89446485,0.9999991,1.0,1.0000025,-3.0000017
186.999,4.3122874e-9,313.001,-500.0,0.89446485,0.9999992,1.0,1.0000023,-3.0000014
175.13597,-1.8892838e-9,324.8637,-499.99966,0.89446485,1.0000019,0.99999934,0.999998,-2.9999993
93.832,4.3123136e-9,406.168,-500.0,0.89446485,0.9999997,1.0,1.0000023,-3.000002
94.53914,-1.7047835e-10,405.4609,-500.0,0.89446485,0.99999994,1.0,1.0,-3.0
181.472,4.282788e-9,318.52798,-500.0,0.89446485,0.9999992,1.0,1.0000021,-3.0000014
181.472,3.8559775e-10,318.52798,-500.0,0.89446485,0.99999994,1.0,1.0000002,-3.0000002
159.008,340.992,-1.5436513e-8,-500.0,0.88520795,0.99999934,0.9999985,1.0000021,-3.0
168.18686,263.18115,68.630066,-499.9981,0.86647487,0.9999947,1.0000097,0.99999595,-3.0000005
205.049,-88.038,382.989,-500.0,0.8727291,0.9999991,1.0000004,1.0000021,-3.000002
205.049,-88.038,382.989,-500.0,0.87756264,1.0,1.0,0.99999994,-3.0
174.078,-80.727,406.649,-500.0,0.8843575,0.99999934,1.0000004,1.0000021,-3.000002
176.26607,-80.463196,404.19717,-500.00006,0.8887902,0.9999996,1.0000002,1.0000008,-3.0000007
219.835,-73.325,353.49,-500.0,0.8949635,0.9999991,1.0000004,1.0000021,-3.0000017
216.04778,-73.08525,357.03732,-499.99988,0.89898974,0.9999997,1.0,1.0000018,-3.0000017
104.037,-66.6,462.56302,-500.0,0.90459687,0.9999996,1.0000002,1.0000021,-3.0000021
104.037,-66.6,462.56302,-500.0,0.90825355,0.9999998,1.0000001,1.000001,-3.000001
154.405,-60.492,406.087,-500.0,0.9133467,0.99999934,1.0000002,1.0000021,-3.000002
151.95596,-56.92974,404.97382,-500.00006,0.9166664,1.0000013,0.9999991,0.99999774,-2.999998
101.679,4.2199555e-9,398.321,-500.0,0.9166782,0.9999996,1.0,1.0000021,-3.000002
101.77399,4.7229842e-9,398.226,-500.0,0.9166782,0.9999996,1.0,1.0000024,-3.0000021
130.913,4.219948e-9,369.087,-500.0,0.9166782,0.99999946,1.0,1.0000021,-3.0000017
130.913,-1.6509077e-9,369.087,-500.0,0.9166782,1.0000002,1.0,0.9999992,-2.9999995
112.366,4.2199524e-9,387.634,-500.0,0.9166782,0.9999996,1.0,1.0000021,-3.000002
113.61139,1.1083593e-9,386.38864,-500.00006,0.9166782,0.9999998,1.0000001,1.0000007,-3.0000005
127.519,4.186485e-9,372.481,-500.0,0.9166782,0.99999946,1.0,1.0000021,-3.0000017
127.04557,4.0650616,368.8895,-500.00012,0.9166782,1.0000007,0.99999946,0.99999887,-2.999999
144.432,355.568,-1.3752111e-8,-500.0,0.9073066,0.99999946,0.9999985,1.0000021,-3.0
