time_minute,timestamp,load,forecast,Pset_UDP,B_set_UDP,Real_PV,Deviation_Factor,Grid_Power
49.000000,2026-01-21 21:56:59,4460.684674,0.000000,0.000000,0.000000,0.000000,0.071150,4460.684674
50.000000,2026-01-21 21:56:59,4486.803616,0.000000,0.000000,0.000000,0.000000,0.077733,4486.803616
51.000000,2026-01-21 21:56:59,4532.360368,0.000000,0.000000,0.000000,0.000000,0.017970,4532.360368
52.000000,2026-01-21 21:57:00,4597.809116,0.000000,0.000000,0.000000,0.000000,0.080541,4597.809116
53.000000,2026-01-21 21:57:00,5499.037654,0.000000,0.000000,3242.294000,0.000000,-0.014808,2256.743654
54.000000,2026-01-21 21:57:00,5472.141990,0.000000,0.000000,5472.141990,0.000000,0.061600,0.000000
55.000000,2026-01-21 21:57:00,7329.390918,0.000000,0.000000,7329.390918,0.000000,0.021521,0.000000
56.000000,2026-01-21 21:57:00,8225.024421,2779.097004,2779.097004,5445.927000,2613.303572,-0.059657,165.793849
57.000000,2026-01-21 21:57:00,8491.769374,8288.837736,8288.837736,202.931638,8027.062191,-0.031582,261.775545
58.000000,2026-01-21 21:57:00,8722.706101,11580.204160,11580.204101,-2857.498000,10504.994943,-0.092849,1075.209158
59.000000,2026-01-21 21:57:00,8768.387919,13478.168570,13478.168568,-4709.781000,13147.785103,-0.024512,330.383816
60.000000,2026-01-21 21:57:00,8775.510070,14297.323040,14297.323044,-5521.813000,14680.292646,0.026786,-382.969576
61.000000,2026-01-21 21:57:00,8525.964913,14093.913740,14093.913744,-5567.949000,12734.415187,-0.096460,1359.498726
62.000000,2026-01-21 21:57:00,8842.913789,12809.762390,12809.762388,-3966.849000,14050.602819,0.096867,-1240.840030
63.000000,2026-01-21 21:57:00,8845.869284,10363.591130,10363.590284,-1517.721000,11248.873667,0.085422,-885.283383
64.000000,2026-01-21 21:57:00,8489.333888,6434.346024,6434.346024,2054.987864,6893.543435,0.071367,-459.197411
65.000000,2026-01-21 21:57:00,8387.175126,719.467818,719.467818,7667.707000,786.783770,0.093564,-67.315644
66.000000,2026-01-21 21:57:00,8498.924437,0.000000,0.000000,8498.924000,0.000000,-0.071801,0.000437
67.000000,2026-01-21 21:57:00,6329.498869,0.000000,0.000000,6329.498869,0.000000,0.060587,0.000000
68.000000,2026-01-21 21:57:01,6317.512329,0.000000,0.000000,6317.512000,0.000000,-0.066761,0.000329
69.000000,2026-01-21 21:57:01,5380.159610,0.000000,0.000000,-5522.183000,0.000000,-0.051164,10902.342610
70.000000,2026-01-21 21:57:01,5195.944718,0.000000,0.000000,0.000000,0.000000,0.045042,5195.944718
71.000000,2026-01-21 21:57:01,4474.283901,0.000000,0.000000,0.000000,0.000000,-0.074239,4474.283901
72.000000,2026-01-21 21:57:01,4455.833450,0.000000,0.000000,0.000000,0.000000,-0.047087,4455.833450
73.000000,2026-01-21 21:57:01,4363.844487,0.000000,0.000000,0.000000,0.000000,-0.023354,4363.844487
74.000000,2026-01-21 21:57:01,4294.795169,0.000000,0.000000,0.000000,0.000000,-0.090942,4294.795169
75.000000,2026-01-21 21:57:01,4277.937657,0.000000,0.000000,0.000000,0.000000,0.070142,4277.937657
76.000000,2026-01-21 21:57:01,4261.027485,0.000000,0.000000,0.000000,0.000000,-0.092725,4261.027485
77.000000,2026-01-21 21:57:01,5195.806488,0.000000,0.000000,0.000000,0.000000,-0.035250,5195.806488
78.000000,2026-01-21 21:57:01,5256.160463,0.000000,0.000000,0.000000,0.000000,-0.054965,5256.160463
79.000000,2026-01-21 21:57:01,7122.400942,0.000000,0.000000,0.000000,0.000000,0.095343,7122.400942
80.000000,2026-01-21 21:57:01,8050.038046,2459.953716,2459.953716,0.000000,2247.323660,-0.086437,5802.714386
81.000000,2026-01-21 21:57:01,8351.301076,7234.157832,7234.157832,0.000000,7802.523181,0.078567,548.777895
82.000000,2026-01-21 21:57:01,8612.740619,11110.462850,11110.462619,-2497.722000,11043.311268,-0.006044,67.151351
83.000000,2026-01-21 21:57:01,8702.373085,12996.619860,12996.619860,-4294.248000,12139.298592,-0.065965,857.322493
84.000000,2026-01-21 21:57:01,8780.255976,13817.019480,13817.019480,-5036.764000,12445.399646,-0.099270,1371.620330
85.000000,2026-01-21 21:57:01,8455.493798,13509.898270,13509.897798,-5054.404000,13023.935923,-0.035971,485.961875
86.000000,2026-01-21 21:57:02,8698.713274,12228.645100,12228.645096,-3529.932000,11324.888308,-0.073905,903.756966
87.000000,2026-01-21 21:57:02,8429.782965,9827.835720,9827.835720,-1398.053000,9077.508515,-0.076347,750.327450
88.000000,2026-01-21 21:57:02,8351.123351,6074.864364,6074.864364,2276.258987,6382.920693,0.050710,-308.056329
89.000000,2026-01-21 21:57:02,8443.895619,711.760806,711.760806,7732.134813,760.114197,0.067935,-48.353391
90.000000,2026-01-21 21:57:02,8703.755388,0.000000,0.000000,8703.755000,0.000000,0.096756,0.000388
91.000000,2026-01-21 21:57:02,6556.881104,0.000000,0.000000,6556.881000,0.000000,-0.001723,0.000104
92.000000,2026-01-21 21:57:02,6505.992612,0.000000,0.000000,6505.992612,0.000000,0.077628,0.000000
93.000000,2026-01-21 21:57:02,5334.267156,0.000000,0.000000,-7823.622000,0.000000,-0.076682,13157.889156
94.000000,2026-01-21 21:57:02,5022.979139,0.000000,0.000000,0.000000,0.000000,0.077967,5022.979139
95.000000,2026-01-21 21:57:02,4154.392695,0.000000,0.000000,0.000000,0.000000,0.018159,4154.392695
96.000000,2026-01-21 21:57:02,4185.909200,0.000000,0.000000,0.000000,0.000000,0.031414,4185.909200
97.000000,2026-01-21 21:57:02,4091.102972,0.000000,0.000000,0.000000,0.000000,-0.003841,4091.102972
98.000000,2026-01-21 21:57:02,4068.248899,0.000000,0.000000,0.000000,0.000000,-0.065043,4068.248899
99.000000,2026-01-21 21:57:02,4061.113583,0.000000,0.000000,0.000000,0.000000,0.012200,4061.113583
100.000000,2026-01-21 21:57:02,4055.005121,0.000000,0.000000,0.000000,0.000000,0.082083,4055.005121
101.000000,2026-01-21 21:57:02,4945.478027,0.000000,0.000000,0.000000,0.000000,0.050259,4945.478027
102.000000,2026-01-21 21:57:03,4957.754192,0.000000,0.000000,0.000000,0.000000,-0.021639,4957.754192
103.000000,2026-01-21 21:57:03,6848.066487,0.000000,0.000000,0.000000,0.000000,0.071721,6848.066487
104.000000,2026-01-21 21:57:03,7745.003304,2447.287596,2447.287596,0.000000,2653.870480,0.084413,5091.132824
105.000000,2026-01-21 21:57:03,8008.417566,7794.708780,7794.708780,0.000000,8213.418465,0.053717,-205.000899
106.000000,2026-01-21 21:57:03,8228.190552,11229.545840,11229.545552,-3001.355000,10147.262189,-0.096378,1082.283363
107.000000,2026-01-21 21:57:03,8280.974774,13282.552150,13282.551774,-5001.577000,14382.832886,0.082837,-1100.281112
108.000000,2026-01-21 21:57:03,8298.997370,14246.572690,14246.572370,-5947.575000,13425.774432,-0.057614,820.797938
109.000000,2026-01-21 21:57:03,8026.578392,14031.355990,14031.355992,-6004.779000,13914.683882,-0.008315,116.673510
110.000000,2026-01-21 21:57:03,8246.805564,12680.396220,12680.396220,-4433.591000,12262.051059,-0.032991,418.345505
111.000000,2026-01-21 21:57:03,8252.038568,10151.272610,10151.272568,-1899.234000,10043.784079,-0.010589,107.488489
112.000000,2026-01-21 21:57:03,8265.440323,6225.054492,6225.054492,2040.385831,5911.122680,-0.050430,313.931812
113.000000,2026-01-21 21:57:03,8353.177059,739.428764,739.428764,7613.748000,808.258213,0.093085,-68.829154
114.000000,2026-01-21 21:57:03,8461.477195,0.000000,0.000000,8461.477000,0.000000,0.094868,0.000195
115.000000,2026-01-21 21:57:03,6292.077957,0.000000,0.000000,6292.077957,0.000000,0.036974,0.000000
116.000000,2026-01-21 21:57:03,6243.750016,0.000000,0.000000,6243.750000,0.000000,-0.067804,0.000016
117.000000,2026-01-21 21:57:03,5137.677363,0.000000,0.000000,-8930.000000,0.000000,0.054744,14067.677363
118.000000,2026-01-21 21:57:03,4870.596707,0.000000,0.000000,-1627.617000,0.000000,0.002250,6498.213707
119.000000,2026-01-21 21:57:03,4122.468082,0.000000,0.000000,0.000000,0.000000,-0.032610,4122.468082
120.000000,2026-01-21 21:57:04,4121.987567,0.000000,0.000000,0.000000,0.000000,0.054407,4121.987567
121.000000,2026-01-21 21:57:04,4043.360865,0.000000,0.000000,0.000000,0.000000,0.018376,4043.360865
122.000000,2026-01-21 21:57:04,4028.083128,0.000000,0.000000,0.000000,0.000000,0.007716,4028.083128
123.000000,2026-01-21 21:57:04,4014.701120,0.000000,0.000000,0.000000,0.000000,-0.007635,4014.701120
124.000000,2026-01-21 21:57:04,3983.230692,0.000000,0.000000,0.000000,0.000000,-0.047350,3983.230692
125.000000,2026-01-21 21:57:04,4897.314646,0.000000,0.000000,0.000000,0.000000,-0.012415,4897.314646
126.000000,2026-01-21 21:57:04,4906.938107,0.000000,0.000000,0.000000,0.000000,0.089657,4906.938107
127.000000,2026-01-21 21:57:04,6766.839740,0.000000,0.000000,0.000000,0.000000,0.027696,6766.839740
128.000000,2026-01-21 21:57:04,7685.136427,2452.203768,2452.203768,0.000000,2495.802901,0.017780,5189.333526
129.000000,2026-01-21 21:57:04,7990.737255,7440.014484,7440.014484,0.000000,7023.495901,-0.055984,967.241354
130.000000,2026-01-21 21:57:04,8232.225560,10890.029420,10890.029424,-2657.804000,10575.606970,-0.028873,314.422590
131.000000,2026-01-21 21:57:04,8308.179810,12863.024500,12863.024496,-4554.845000,14010.978397,0.089244,-1147.953587
132.000000,2026-01-21 21:57:04,8335.358517,13759.399370,13759.399368,-5424.041000,12673.697062,-0.078906,1085.702455
133.000000,2026-01-21 21:57:04,8086.188557,13596.779270,13596.779268,-5510.591000,13900.129004,0.022310,-303.349447
134.000000,2026-01-21 21:57:04,8323.681349,12293.242310,12293.242308,-3969.561000,12942.543036,0.052818,-649.300687
135.000000,2026-01-21 21:57:04,8337.241082,9899.109480,9899.109082,-1561.868000,9134.351373,-0.077255,764.757709
136.000000,2026-01-21 21:57:04,8335.641560,6161.316000,6161.316000,2174.325560,5909.832218,-0.040817,251.483782
137.000000,2026-01-21 21:57:05,8396.429973,805.245359,805.245359,7591.184614,834.770127,0.036666,-29.524769
138.000000,2026-01-21 21:57:05,8475.352882,0.000000,0.000000,8475.352882,0.000000,0.062973,0.000000
139.000000,2026-01-21 21:57:05,6285.212519,0.000000,0.000000,6285.212519,0.000000,-0.074809,0.000000
140.000000,2026-01-21 21:57:05,6237.319017,0.000000,0.000000,6237.319000,0.000000,0.007870,0.000017
141.000000,2026-01-21 21:57:05,5133.003863,0.000000,0.000000,0.000000,0.000000,0.096677,5133.003863
142.000000,2026-01-21 21:57:05,4863.079613,0.000000,0.000000,0.000000,0.000000,0.034362,4863.079613
143.000000,2026-01-21 21:57:05,4118.163196,0.000000,0.000000,0.000000,0.000000,0.004829,4118.163196
144.000000,2026-01-21 21:57:05,4124.798250,0.000000,0.000000,0.000000,0.000000,-0.047811,4124.798250
