pv_to_load_series_kw,pv_to_storage_series_kw,pv_to_grid_series_kw,pv_curtailed_production_series_kw,storage_to_load_series_kw,soc_series_fraction,grid_to_load_series_kw,grid_to_battery_series_kw,grid_emissions_tonnes,emissions_factor_lbs_per_kwh,load_series_kw,cost_per_timestep
0.0,0,0,0,0.0,1.0,4680.609056,0,4160.26574724448,0.88883,4680.609056,327.64263392000004
0.0,0,0,0,0.0,1.0,4460.684674,0,3922.4138543884196,0.87933,4460.684674,312.24792718000003
0.0,0,0,0,0.0,1.0,4486.803616,0,3978.6731064880005,0.88675,4486.803616,314.07625312000005
0.0,0,0,0,0.0,1.0,4532.360368,0,4012.2720157719996,0.88525,4532.360368,317.26522576
0.0,0,0,0,0.0,1.0,4597.809116,0,4103.17681130072,0.89242,4597.809116,321.8466381200001
0.0,0,0,0,3242.294,0.93189,2256.743654,0,2016.78410127018,0.89367,5499.037654,157.97205578
0.0,0,0,0,5472.14199,0.816938,0,0,0.0,0.89392,5472.14199,0.0
0.0,0,0,0,7329.390918,0.662972,0,0,0.0,0.90258,7329.390918,0.0
2779.097004,0,0,0,5445.927,0.548571,0.0004170000001977314,0,0.000375717000178156,0.901,8225.024421,2.9190000013841203e-5
8288.837736,0,0,0,202.93163800000002,0.544308,0,0,0.0,0.92483,8491.769374,0.0
8722.706101,2857.498,0,5.500000179381459e-5,0,0.598245,0,0,0.0,0.91283,8722.706101,0.0
8768.387919,4709.780648999998,0,0,0,0.687146,0,0.0003510000015012338,0.000319761001367624,0.911,8768.387919,2.4570000105086367e-5
8775.51007,5521.812974,0,0,0,0.791375,0,2.5999999706982635e-5,2.47844997206812e-5,0.95325,8775.51007,1.8199999794887846e-6
8525.964913,5567.948831,0,0,0,0.896474,0,0.00016899999991437653,0.00016391647991695208,0.96992,8525.964913,1.1829999994006358e-5
8842.913789,3966.848598999999,0,0,0,0.971352,0,0.00040100000114762224,0.00039060608111787586,0.97408,8842.913789,2.807000008033356e-5
8845.869284,1517.721,0,0.0008439999996880942,0,1.0,0,0,0.0,0.97342,8845.869284,0.0
6434.3460239999995,0,0,0,2054.9878639999997,0.956831,0,0,0.0,0.944,8489.333888,0.0
719.4678180000001,0,0,0,7667.707,0.795758,0.0003079999996771221,0,0.00028838963969767976,0.93633,8387.175126,3.458839996374081e-5
0.0,0,0,0,8498.924,0.617223,0.0004369999987829942,0,0.0004119074588528747,0.94258,8498.924437,4.907509986333025e-5
0.0,0,0,0,6329.498869,0.484261,0,0,0.0,0.94083,6329.498869,0.0
0.0,0,0,0,6317.512,0.351551,0.00032900000041991007,0,0.0003027885703864558,0.92033,6317.512329,3.69467000471559e-5
0.0,0,0,0,0,0.455787,5380.15961,5522.183,9989.2714164125,0.91625,5380.15961,763.1639827
0.0,0,0,0,0.0,0.455787,5195.944718,0,4746.07982431556,0.91342,5195.944718,363.71613026
0.0,0,0,0,0.0,0.455787,4474.283901,0,4058.53344091908,0.90708,4474.283901,313.19987307
